source,source_id,title,abstract,journal,pub_date,doi,url,authors,score,score_reason
PubMed,42185267,Diversification in ANME-1 archaea is associated with the presence of highly variable genomic hotspots.,"Anaerobic methanotrophic (ANME) archaea have been primarily documented by metagenomic analysis of environmental samples. The mechanisms that drive their diversification and speciation are poorly understood. Here we analyse the phylogenomic diversity at the species and strain levels of clade ANME-1 from deep-sea cold seeps, as a model system with a well-studied phylogenetic framework. We reconstruct high-quality circular metagenomic-assembled genomes (cMAGs) and identify highly variable genomic hotspots that distinguish them. Genomic differentiation and diversification in ANME-1 is associated with genes involved in prokaryotic defense systems, transport mechanisms and methane metabolism. In addition, heterologous expression of ANME-1 hicAB operons supports their proposed role as toxin/antitoxin systems, possibly involved in mediating responses to environmental stresses.",Nature communications,2026 May 25,10.1038/s41467-026-73573-4,https://pubmed.ncbi.nlm.nih.gov/42185267/,"Zhou YL, Feng JC, Lu R, Chen Z, Mara P, Tao X, Liu J, Huang Y, et al.",13.0,"keyword+8.0, journal+5.0"
PubMed,42209465,Single nucleotide variants drive evolutionary phage-host arms race in anaerobic carbon dioxide-converting microbiome.,"Microbial bioconversions are shaped by environmental perturbations and the adaptation of resident microbiomes. Prokaryotes coexist with bacteriophages, yet their coevolutionary trajectories remain underexplored. Here, we investigate the effects of a cultivation vessel leak on an anaerobic consortium performing carbon dioxide reduction. Using time-series shotgun metagenomic sequencing, we reconstruct microbial and viral genomes to track community shifts. We further apply single-nucleotide variant profiling and CRISPR array analysis to monitor viral microdiversity and host defense mechanisms. After bioaugmentation restores bioconversion efficiency, the consortium undergoes pronounced restructuring, with new dominant taxa emerging from the rare biosphere. We identify patterns consistent with phage predation selectively removing certain species, while others exhibit resilience to infection. This shift aligns with a widespread viral outbreak and a transient increased frequency of single nucleotide variants in bacterial CRISPR-Cas defense genes. Expansion of CRISPR spacers further supports that CRISPR-mediated processes influence microbial resilience. Concurrently, phages infecting resilient hosts exhibited adaptive evolution, marked by high genetic heterogeneity. Selective pressure varies across their genomes, targeting infectivity genes and protospacer-adjacent motifs. These findings highlight a dynamic evolutionary arms race driven by the selection of beneficial genetic variants, providing a mechanistic framework for multi-omics investigations, and informing biotechnological applications, including phage-based microbiome manipulation.",Nature communications,2026 May 28,10.1038/s41467-026-73084-2,https://pubmed.ncbi.nlm.nih.gov/42209465/,"Ghiotto G, Zampieri G, Orellana E, Chatzis A, Kougias PG, Camargo A, Roux S, Campanaro S, et al.",12.0,"keyword+7.0, journal+5.0"
PubMed,42201971,Evolution induced state shifts in a long-term microbial community experiment.,"Biological communities are complex, dynamic systems that underpin ecosystem functionality, yet their long-term dynamics and predictability remain poorly understood. Understanding how Darwinian evolution shapes these systems through eco-evolutionary feedback is a central challenge in ecology and evolution. Experimental studies using simplified microbial assemblages have yielded important insights into the ecological principles governing community states. However, an important knowledge gap is how selection within member species drives changes of community state in multispecies systems. Here, we present a four-year evolution experiment involving a 23-species synthetic bacterial community propagated in two environments: a control medium and the same medium supplemented with the antibiotic streptomycin. Through combined analyses of community composition and genome evolution, we quantified the temporal changes in species abundances and the evolutionary trajectories of individual community members. The extended duration of the experiment enabled the detection of adaptive mutations and community state shifts that occur only over long evolutionary timescales. We show that community dynamics are environment dependent and reproducible across replicates and that evolution of streptomycin resistance in a previously streptomycin-sensitive species on its own can induce abrupt community state shifts. Our results provide a direct demonstration of eco-evolutionary feedbacks within a multispecies community, revealing how a single adaptive mutation can reorganize complex ecological networks.",Proceedings of the National Academy of Sciences of the United States of America,2026 Jun 02,10.1073/pnas.2533269123,https://pubmed.ncbi.nlm.nih.gov/42201971/,"Kivikoski M, Cairns J, Hogle SL, Pausio S, Becks L, Mustonen V, Hiltunen T",11.5,"keyword+5.5, journal+6.0"
PubMed,42218155,Single-phage profiling illuminates viral individuality during bacterial cell fate determination.,"The choice between cell death (lysis) and viral dormancy (lysogeny) following bacteriophage infection serves as a founding paradigm for the emergence of cellular heterogeneity in a genetically uniform population. The determination of host fate arises through the stochastic transcription from multiple viral genomes present within each cell, but this activity remains hidden from empirical interrogation, which typically stops at the whole-cell level. Here we use parallel sequential fluorescence in situ hybridization (par-seqFISH), followed by spatial clustering of phage-encoded transcripts within each cell, to profile the transcriptional activity of individual phages during synchronized infection of Escherichia coli by bacteriophage lambda. At the whole-cell level, transcription kinetics capture the developmental choice between lysis and lysogeny, and further demonstrate that intracellular viral replication is required for the emergence of diverging fate decisions. Zooming in to the single-phage level illuminates an individuality of viral activity during infection. We find that, while cells pursuing lysogeny display consensus activity of all inhabiting phages, lytic cells may contain phages that exhibit lysogenic activity. These findings support an earlier suggestion that consensus among coinfecting phages is required for cell dormancy. More broadly, our results highlight the need to identify how whole-cell behavior emerges from the activity of physically distinct copies of the same genetic circuit.",Nature communications,2026 May 30,10.1038/s41467-026-73867-7,https://pubmed.ncbi.nlm.nih.gov/42218155/,"Homaee E, Zhu W, Yao T, Golding I",11.0,"keyword+6.0, journal+5.0"
PubMed,42201143,"Evolution, multifunctionality, and agricultural potential of insect microbiomes and the holobiont concept.","Insect-associated microbiomes, as co-evolved members of the holobiont, play pivotal roles in host physiology, ecological resilience, and evolutionary innovation. This review synthesizes recent advances in understanding microbial symbionts' contributions to metabolic adaptation, insecticide detoxification, and immune modulation. Framed within hologenome theory-which posits host-microbe assemblages as units of natural selection-we explore co-evolutionary dynamics driving mutualistic specialization and adaptive plasticity. Cutting-edge tools like genome editing and metagenomics reveal how gut microbiota mediate cross-kingdom interactions, insecticide resistance, and reproductive fitness. Intriguingly, microbial symbionts can enhance host resistance through detoxification while sensitizing hosts to specific toxins, highlighting context-dependent trade-offs. Targeted manipulation of microbial consortia-via detoxification disruption or symbiont engineering-offers new avenues for sustainable pest control, though ecological risks demand rigorous biosafety protocols. A paradigm shift toward holobiont-centered models promises unified strategies for sustainable agriculture and biodiversity conservation in the Anthropocene.",The ISME journal,2026 May 27,10.1093/ismejo/wrag137,https://pubmed.ncbi.nlm.nih.gov/42201143/,"Zhang W, Eleftherianos I, Mohamed A, Smagghe G, Chakkalakkal G, Al-Akeel R, Toprak U, Tettamanti G, et al.",11.0,"keyword+6.5, journal+4.5"
PubMed,42189983,Uncovering ParB-dependent and -independent subclasses of T-dioxygenases from bacteriophage.,"5-Methylpyrimidine dioxygenases (5mYOXs) are iron (II)/2-oxoglutarate-dependent enzymes that catalyze the postreplicative oxidation of DNA 5-methylpyrimidines. Here, we define two subclasses of phage thymine (T) 5mYOXs: a stand-alone enzyme and a second requiring an activator. Using bioinformatic tools, we show that the activator is homologous to the bacterial chromosomal segregation (CS) protein ParB, retaining the N-terminal nucleotide-binding domain (NBD), responsible for CTP binding and hydrolysis in CS, and the C-terminal dimerization domain (CTD), but lacking an obvious DNA-binding domain. In vivo, we demonstrate that ParB activates its cognate 5mYOX with relative specificity and that both NBD and CTD are required for function. Unlike CS-ParBs, mutation of conserved NTP-binding/hydrolysis residues does not affect the role of 5mYOX-associated ParB, suggesting a lack of CTP requirement or a regulatory mechanism not captured under our conditions. For 5mYOXs, we define subclass-specific domains essential for T oxidation and provide evidence for abolishing ParB dependency upon swapping a variable insert from a ParB-independent 5mYOX into a dependent one. In vitro, reconstitution of subclass representatives, 5mYOX97 and 176, confirms their activity as postreplicative T-dioxygenases. Both enzymes function on a wide range of DNA substrates [single and double-stranded (ds), linear, and circular]. The enzymes differ in their sequence preference and support iterative oxidation of T and 5-methylcytosine. Notably, 5mYOX176 requires activation by ParB176 only when acting on dsDNA. These findings establish an activator-dependent subclass within the iron (II)/2-oxoglutarate-dependent dioxygenase superfamily and expand the functional landscape of both 5mYOX and ParBs, suggesting regulatory mechanisms for T oxidation in bacteriophage.",Proceedings of the National Academy of Sciences of the United States of America,2026 Jun 02,10.1073/pnas.2522060123,https://pubmed.ncbi.nlm.nih.gov/42189983/,"O'Toole KH, Perkins LJ, Bouchet A, DeSanctis ML, Lund SR, Mulholland AJ, El Hariri Y, Belkadi S, et al.",10.5,"keyword+4.5, journal+6.0"
PubMed,42177580,"Bacterial 3D genome architecture: organization, regulation, and synthetic biology applications.","Bacterial chromosomes are compacted into hierarchical three-dimensional (3D) architectures that underpin essential processes such as replication, transcription, and segregation. However, detailed principles governing genome architecture and its regulation remain incompletely understood. Here we review current knowledge on structural organization of bacterial 3D genomes and their regulatory factors, integrating insights from chromosome conformation capture and imaging studies. We highlight how genome architecture dynamically responds to environmental cues. We also discuss potential applications of bacterial 3D genomics, particularly in synthetic biology. These findings provide a framework for understanding bacterial genomic homeostasis and adaptation, offering opportunities for engineering microbial systems and novel therapies.",Genome biology,2026 May 23,10.1186/s13059-026-04117-8,https://pubmed.ncbi.nlm.nih.gov/42177580/,"Chen M, Zhu Z, Huang Y, Wu B, He M",10.5,"keyword+6.0, journal+4.5"
PubMed,42189993,Anti-CRISPR-mediated continuous directed evolution of CRISPR-Cas9 in human cells.,"Engineering CRISPR-Cas systems for improved or altered function is critical to both research and therapeutic applications. Unfortunately, most optimization, especially directed evolution in bacterial hosts, fails to capture the functional requirements of the complex mammalian cellular milieu, where activity is usually required. Robust strategies to enable continuous directed evolution of genome-targeting agents directly in human cells remain lacking. Here, we introduce CRISPR-MACE (Mammalian cell-enabled Adenovirus-assisted Continuous Evolution) as a foundational technology to address this need. CRISPR-MACE integrates virus-based continuous evolution with anti-CRISPR-based tunable selection to generate Streptococcus pyogenes Cas9 variants with both increased and decreased DNA binding capacity and nearly 1,000-fold-enhanced resistance to AcrIIA4, the strongest known inhibitor of SpCas9. Notably, across independent evolution campaigns, the same Cas9 gatekeeper mutation reproducibly emerged first, enabling subsequent adaptive steps along two interdependent axes of Cas9 function. In addition to advancing CRISPR technologies, this work establishes key principles and synthetic circuits for continuously evolving CRISPR-Cas systems directly in human cells.",Proceedings of the National Academy of Sciences of the United States of America,2026 Jun 02,10.1073/pnas.2536003123,https://pubmed.ncbi.nlm.nih.gov/42189993/,"Sabol AL, Mengiste AA, Singh P, Sreekanth V, Hendel SJ, Tran MTN, Barybin AM, Chaudhary S, et al.",10.0,"keyword+4.0, journal+6.0"
PubMed,42176229,Carbon regime structures functional trait trajectories during primary succession in microorganisms.,"Primary succession is a foundational process in ecology, but how microbial communities shift functionally during succession, and whether these dynamics follow predictable patterns, remains unresolved. We conducted a systematic review of functional primary succession in microorganisms and applied a consistent metagenomic pipeline to evaluate functional richness, rRNA operon copy number (RRN), and average genome size (AGS) over time. We also explored the yield-acquisition-stress (Y-A-S) life-history framework using functional gene annotations. Across autotrophic systems, RRN tended to decrease and AGS tended to increase during succession, whereas heterotrophic systems exhibited more variable trajectories. These consistent shifts in autotrophic systems suggest a transition from early colonization by copiotrophic taxa with small genomes and high RRN toward later-stage communities with larger genomes, lower RRN, and greater functional versatility. In contrast, heterotrophic systems showed heterogeneous trait trajectories, likely reflecting variation in the timing and predictability of organic inputs. Topic modeling further revealed that early successional stages were enriched in stress-tolerance genes, followed by shifts toward other strategies over time. While certain trait patterns such as RRN and AGS appeared broadly conserved, changes in life-history strategies during succession were context dependent and shaped by resource dynamics and system type. These findings suggest that microbial successional trajectories are structured by differences in resource availability, particularly whether systems are driven by autotrophic inputs or constrained by externally supplied carbon sources.",The ISME journal,2026 May 23,10.1093/ismejo/wrag134,https://pubmed.ncbi.nlm.nih.gov/42176229/,"Cagle GA, Baiser B, Bernardin JR, Bittleston LS, Young EB, Gray SM, Freedman ZB",10.0,"keyword+5.5, journal+4.5"
PubMed,42178714,Microbiome functional gene pathways are indicative of cognitive performance in older adults at risk for Alzheimer's disease.,"Disturbances in the gut microbiome are increasingly correlated with neurodegenerative disorders, including Alzheimer's disease. Multiple lines of emerging evidence are consistent with the microbiome's involvement in disease pathology in AD by triggering or potentiating systemic and neuroinflammation, thereby influencing disease pathology through the ""microbiota-gut-brain axis."" Currently, the copathologies contributing to cognitive decline and symptomatic progression in AD remain unknown and understudied. Changes in the gut microbiome composition may offer clues to potential systemic physiologic and neuropathologic changes that contribute to cognitive decline. Here, we recruited a cohort of 260 older adults (aged 60 y or older) living in the community and followed them over time, tracking objective measures of cognition, clinical information, and gut microbiome samples. Subjects were classified as healthy controls, exhibiting mild cognitive impairment, or having dementia based on clinical assessments. Using metagenomic sequencing and gene pathway analyses, we found that certain microbial-encoded metabolic pathways correlated with worse cognitive performance. Specifically, genes involved in the urea cycle, polyamine synthesis, or the metabolism of methionine and cysteine predicted worse cognitive performance. Our study suggests that the gut microbiome composition may be linked to cognitive impairment along the AD continuum and points to microbial metabolic pathways that may potentiate disease.",Gut microbes,2026 Dec 31,10.1080/19490976.2026.2676162,https://pubmed.ncbi.nlm.nih.gov/42178714/,"Zeamer AL, Lai Y, Loew E, Sanborn V, Tracy M, Jo C, Ferdinand D, Ward DV, et al.",9.5,"keyword+4.5, journal+5.0"
PubMed,42209485,Population-scale chemical response revealed by a barcoded yeast collection.,"Natural genetic variation shapes how microbial populations adapt to environmental and chemical challenges, but scalable approaches to map genotype-phenotype relationships across diverse genetic backgrounds remain limited. Here, we developed a systematically barcoded collection of 520 Saccharomyces cerevisiae natural isolates that captures the ecological, geographical and genetic diversity of the species. Using pooled barcode sequencing, we profiled fitness responses to over 600 bioactive and natural compounds, revealing broader and more polarized bioactivity than the standard yeast gene-deletion collection. Fitness-based clustering defined six major compound groups with reproducible, population-structured sensitivity patterns. Genome-wide association analysis identified significant genetic variants across 106 compounds, linking natural polymorphisms to chemical responses and involving genes in genome maintenance, ribosome biogenesis, vesicular trafficking and stress tolerance. Together, our barcoded natural population provides a scalable framework for chemical-genetic screening, enabling systematic dissection of how genetic diversity shapes microbial fitness and adaptation.",Nature communications,2026 May 28,10.1038/s41467-026-73532-z,https://pubmed.ncbi.nlm.nih.gov/42209485/,"Dutta A, Garin M, Loegler V, Brach G, Friedrich A, Yoshimura M, Hirano H, Osada H, et al.",9.5,"keyword+4.5, journal+5.0"
PubMed,42185318,Large-scale investigation for antimicrobial activity reveals newly-identified defensive species across the healthy skin microbiome.,"The skin microbiome forms a protective barrier to pathogens, including through the production of antimicrobial metabolites. Here, we present EPICHHS, a large and taxonomically diverse skin microbiome culture collection of 968 strains from eight body sites. EPICHHS captures >95% of cumulative species-level abundance across 268 skin metagenomes. It includes isolates present at <0.1% relative abundance and the cultured representatives for eight species not previously isolated, markedly expanding current skin microbiome resources. A contact-independent screen assaying ~14,000 pairwise interactions against 22 pathogens revealed widespread antagonism with striking enrichment for antifungal activity. Finally, functional genomic analysis, including 287 EPICHHS isolate genomes, demonstrated a diverse landscape of skin-associated biosynthetic gene clusters that are mostly uncharacterized. Together EPICHHS, its functional and genomic characterization, establishes the skin microbiome as a reservoir for specialized metabolism and provides a platform for microbiome-based antimicrobial discovery.",Nature communications,2026 May 25,10.1038/s41467-026-73524-z,https://pubmed.ncbi.nlm.nih.gov/42185318/,"Nguyen UT, Salamzade R, Sandstrom S, Swaney MH, Townsend EC, Wu SY, Cheong JZA, Sardina JA, et al.",9.5,"keyword+4.5, journal+5.0"
PubMed,42177175,Human RNA polymerase III termination favors decomposition over facilitated recycling.,"Eukaryotic transcription termination remains incompletely understood. Using single-molecule fluorescence assays, we examined intrinsic termination by human RNA polymerase III (RNAP3) and identified mechanistic trifurcation leading to readthrough and two termination pathways with distinctive dissociation kinetics. The dominant pathway, decomposing termination, involves (near-)simultaneous dissociation of RNA and DNA from RNAP3, resulting in complex decomposition. In contrast, recycling termination, where RNA is released while RNAP3 remains DNA-bound and one-dimensionally diffuses to enable facilitated recycling, accounts for 2-14% of transcription, diverging from its predominance in bacterial intrinsic termination. Confirming that robust termination requires a nontemplate-strand T-tract of four or more consecutive thymidines, we uncover that longer T-tracts favor recycling over decomposing termination, reflecting mechanistic distinction between the two pathways. While upstream RNA hairpins enhance termination efficiency, their impact decreases with distance from T-tracts, affecting both pathways similarly. Kinetically, transcript release takes consistently longer in decomposing than recycling termination, aligning with polymerase displacement versus RNA shearing. Furthermore, an RPC10 subunit mutation causes recurrent elongation arrest with differential effects on termination pathways, revealing its selective role in governing this branching process. These findings reinforce evolutionary conservation of termination-pathway duality and highlight diversion of pathway preference in human RNAP3 termination, establishing its fundamental mechanistic principles.",Nature communications,2026 May 23,10.1038/s41467-026-73393-6,https://pubmed.ncbi.nlm.nih.gov/42177175/,"Han S, Wang Q, Song E, Kang C, Xu Y, Hohng S",9.5,"keyword+4.5, journal+5.0"
PubMed,42206360,A pair of DNA glucosyltransferases elevate counter-defense in bacteriophage T4.,"Bacteriophages encode diverse nucleotide-modification pathways to evade host restriction-modification (RM) and CRISPR-Cas systems. On the other hand, modifications can also serve as a target for host defense systems, illustrating the complexity of the defense and counter defense landscape. Bacteriophage T4 encodes two glucosyltransferases (GTs), α-GT and β-GT, that post-replicatively add a glucose moiety to the hydroxymethylated deoxycytosines (5-hmC) on phage DNA in the α- and β-conformation, respectively. Among all fully sequenced phages, only six closely related phages encode both α-GT and β-GT. Here, through biochemical and genetic analysis, we show that β-GT has higher catalytic activity, whereas α-GT is more strongly expressed. During T4 infection, these factors determine the contributions of both GTs, with 66% of all 5-hmC α-glucosylated and 33% β-glucosylated. Encoding a single GT is sufficient to overcome the Escherichia coli RM systems, unless the glucosylation levels decrease below 80%, which constitute a complete protection threshold. However, when encountering a host encoding DNA glycosylase Brig1, in addition to type I and type IV RM systems, a second GT is necessary to enable Brig1 escapers to resist RM systems. These results demonstrate that encoding multiple GTs serves as a counter-defense mechanism when simultaneously confronted with several antiphage defense systems.",Nucleic acids research,2026 May 20,10.1093/nar/gkag531,https://pubmed.ncbi.nlm.nih.gov/42206360/,"Ramirez-Chamorro L, Bonhomme F, Wolff ALI, Stouf M, Lecointe F, Hollenstein M, Krupovic M, De Paepe M, et al.",9.5,"keyword+4.5, journal+5.0"
PubMed,42212800,Chromid-like secondary replicons as predicted key sites of biosynthetic gene clusters in Ktedonobacteria.,"Soils harbor immense biosynthetic gene cluster (BGC) diversity that mediates microbial interactions, yet this potential remains unevenly mapped and poorly characterized across diverse bacterial lineages. Ktedonobacteria (phylum Chloroflexota) are an actinomycete-like lineage widely distributed in terrestrial soils, including oligotrophic volcanic deposits; however, their secondary metabolism and genome architecture remain poorly characterized. Here, we integrate targeted cultivation from volcanic soils at Mount Zao (Japan) with genome-resolved metagenomics and comparative analysis of public genomes to examine biosynthetic potential across 183 ktedonobacterial genomes. We identified 1,546 BGCs and grouped them into 1,162 non-redundant gene-cluster families (GCFs) using antiSMASH and BiG-SLiCE. Nearly one quarter of genomes encoded ≥10 distinct GCFs, and several family-level clades exhibited high GCF richness that approached that of Streptomyces within our data set, highlighting a putatively biosynthetically rich yet underexplored soil bacterial lineage. Most ktedonobacterial BGCs were highly divergent from current reference collections and exhibited unusually low intra-genomic redundancy, suggesting broad putative chemical diversity. Long-read assemblies from 10 cultured strains revealed recurrent 1.6-3.5 Mb ECE-like contigs with chromid-like features, but distinct maintenance features. These replicons were consistently enriched in BGCs and mobility-associated genes, with mobility loci concentrated near BGC boundaries. Collectively, our results expand the phylogenetic landscape of soil biosynthetic diversity and highlight ECE-like contigs as major genomic reservoirs for secondary metabolism in Ktedonobacteria. Soil bacteria produce many of the small molecules that become medicines and help microbes interact with each other. Yet most of this chemical diversity remains unexplored because many soil lineages are difficult to cultivate and remain genomically underrepresented. Much of what we know comes from well-studied groups such as actinomycetes, leaving many soil lineages largely unexplored. We analyzed 183 genomes from Ktedonobacteria, an actinomycete-like group within the phylum Chloroflexota that is widespread in terrestrial soils, including nutrient-poor volcanic deposits. We uncovered a large and diverse set of gene clusters predicted to produce secondary metabolites, many of which lack close counterparts in current reference collections. We also show that these clusters are concentrated on large ECE-like contigs with chromid-like features, pointing to a dedicated genomic reservoir that can accumulate and reshuffle biosynthetic traits. Our results expand the known sources of soil biosynthetic diversity and provide a foundation for future cultivation and functional characterization of Ktedonobacteria metabolites.",mSystems,2026 May 29,10.1128/msystems.00197-26,https://pubmed.ncbi.nlm.nih.gov/42212800/,"Yabe S, Zheng Y, Takahashi S, Yang C, Nose Y, Yamazaki S, Okuma N, Rachmania MK, et al.",9.3,"keyword+5.5, journal+3.8"
PubMed,42212684,Decoding the microbiome: artificial intelligence-targeted gut microenvironment breakthroughs in personalized cancer therapy.,"The gut microbiome functions as a key regulator of tumorigenesis and progression, thereby modulating tumor development and treatment outcomes (including chemoresistance, immunotherapy efficacy, and adverse effects) through its influence on the immune microenvironment and metabolite-mediated signaling pathways. Recent advances in multiomics technologies (metagenomics, metabolomics, and transcriptomics) have generated large-scale, comprehensive, and heterogeneous datasets whose complexity exceeds the capabilities of manual analysis, thus necessitating the implementation of artificial intelligence-based approaches. This review systematically examines the crucial role of the gut microbiome in tumorigenesis, with particular emphasis on colorectal cancer (CRC), specifically addressing its utility as a diagnostic and prognostic biomarker. Furthermore, building upon existing applications of artificial intelligence (AI) in microbiome research and cancer diagnosis and treatment, this review presents an AI-driven precision intervention framework and delineates personalized treatment strategies.",Gut microbes,2026 Dec 31,10.1080/19490976.2026.2672791,https://pubmed.ncbi.nlm.nih.gov/42212684/,"Liu J, Zhao P, Jiang D, Li S, Jin C, Xu D, Wang X, Chen Y, et al.",9.0,"keyword+4.0, journal+5.0"
PubMed,42216307,Predicting Bacterial Radiation Resistance Through Identifying Novel Genomic Features.,"Radiation resistance in bacteria is a critical trait with implications for biotechnology, medicine and environmental science. Deinococcus species possess unique genomic features that enable their extraordinary survival in extreme environments. However, the diversity of radiation resistance mechanisms across bacteria remains poorly explored. Here, we analysed the genomic diversity and functional gene repertoire of Deinococcus and extended the analysis to a broader set of radiation-resistant bacteria. We found that highly resistant strains tend to have smaller genomes and harbour more genes positively associated with radiation resistance, highlighting their potential roles in sustaining cellular homeostasis under radiation-induced stress. By integrating machine learning with curated genomic datasets, we identified key resistance-associated gene signatures and developed a predictive tool to quantify bacterial radiation resistance. This study offers new insights into the genomic basis of radiation resistance and provides a practical framework for its assessment in environmental and microbial engineering applications.",Environmental microbiology,2026 Jun,10.1111/1462-2920.70338,https://pubmed.ncbi.nlm.nih.gov/42216307/,"Liu J, Fang C, Ji B, Zhang T, Li L, Zhu L, Zhang Z, Zhu Z, et al.",9.0,"keyword+5.5, journal+3.5"
PubMed,42215467,The prokaryotic origins of the COMMD protein family involved in eukaryotic membrane trafficking.,"The ten eukaryotic COMMD proteins are core components of the Commander complex, with central roles in endosomal membrane trafficking and signalling. Each protein has an α-helical N-terminal (HN) domain with a C-terminal copper metabolism gene MURR1 (COMM) domain. These ten family members assemble into a heterodecameric ring composed of five specific heterodimers. In this work we have combined structural homology searches with genome-wide predicted structures to identify ancestral COMMD-like proteins that exist as single genes in Bacteria and Archaea. Although there is limited sequence similarity to the eukaryotic proteins the bacterial and archaeal COMMD-like proteins are predicted to form homomeric ring-shaped assemblies like their eukaryotic counterparts. Our biophysical studies, crystal and cryo-EM structures confirm COMMD-like proteins readily form homooligomeric rings composed of eight or ten subunits assembled from core dimeric building blocks and inter-dimer interactions that are analogous to the heterodecameric core structure of the eukaryotic Commander complex. Phylogenetic analyses using amino acid sequences and FoldSeek structural alphabet (3Di) infer that the closest identified relatives to the eukaryotic COMMD proteins are found in Myxococcota bacteria. These findings indicate that COMMD genes emerged early in eukaryotic evolution through multiple rounds of duplication from a single ancestral gene likely acquired from bacteria.",Nature communications,2026 May 29,10.1038/s41467-026-73536-9,https://pubmed.ncbi.nlm.nih.gov/42215467/,"Liu M, Moody ERR, Blades F, Puente-Lelievre C, Chen KE, Stephens EJ, Michie KA, Cater RJ, et al.",9.0,"keyword+4.0, journal+5.0"
